Date,Open,High,Low,Close,Volume,Adj Close
2001-08-20,72.8,72.8,72.8,72.8,0,88.63
2001-08-17,72.51,72.51,72.51,72.51,0,88.29
2001-08-16,74.5,74.5,74.5,74.5,0,90.71
2001-08-15,77.63,77.63,77.63,77.63,0,94.52
2001-08-14,80.07,80.07,80.07,80.07,0,97.49
2001-08-13,76.89,76.89,76.89,76.89,0,93.62
2001-08-10,77.91,77.91,77.91,77.91,0,94.86
2001-08-09,78.48,78.48,78.48,78.48,0,95.56
2001-08-08,81.21,81.21,81.21,81.21,0,98.88
2001-08-07,85.19,85.19,85.19,85.19,0,103.73
2001-08-06,87.18,87.18,87.18,87.18,0,106.15
2001-08-03,88.61,88.61,88.61,88.61,0,107.88
2001-08-02,88.89,88.89,88.89,88.89,0,108.23
2001-08-01,86.33,86.33,86.33,86.33,0,105.11
2001-07-31,87.3,87.3,87.3,87.3,0,106.29
2001-07-30,86.73,86.73,86.73,86.73,0,105.6
2001-07-27,82.46,82.46,82.46,82.46,0,100.4
2001-07-26,76.89,76.89,76.89,76.89,0,93.62
2001-07-25,78.48,78.48,78.48,78.48,0,95.56
2001-07-24,81.78,81.78,81.78,81.78,0,99.57
2001-07-23,84.45,84.45,84.45,84.45,0,102.83
2001-07-20,80.36,80.36,80.36,80.36,0,97.84
2001-07-19,84.17,84.17,84.17,84.17,0,102.48
2001-07-18,82.58,82.58,82.58,82.58,0,100.54
2001-07-17,82.58,82.58,82.58,82.58,0,100.54
2001-07-16,86.73,86.73,86.73,86.73,0,105.6
2001-07-13,89.46,89.46,89.46,89.46,0,108.92
2001-07-12,85.88,85.88,85.88,85.88,0,104.56
2001-07-11,82.46,82.46,82.46,82.46,0,100.4
2001-07-10,87.47,87.47,87.47,87.47,0,106.5
2001-07-09,86.9,86.9,86.9,86.9,0,105.8
2001-07-06,85.88,85.88,85.88,85.88,0,104.56
2001-07-05,88.32,88.32,88.32,88.32,0,107.53
2001-07-04,89.57,89.57,89.57,89.57,0,109.06
2001-07-03,92.13,92.13,92.13,92.13,0,112.17
2001-07-02,95.54,95.54,95.54,95.54,0,116.33
2001-06-29,89.57,89.57,89.57,89.57,0,109.06
2001-06-28,89.57,89.57,89.57,89.57,0,109.06
2001-06-27,83.03,83.03,83.03,83.03,0,101.1
2001-06-26,83.6,83.6,83.6,83.6,0,101.79
2001-06-25,85.31,85.31,85.31,85.31,0,103.86
2001-06-22,87.01,87.01,87.01,87.01,0,105.94
2001-06-21,89.29,89.29,89.29,89.29,0,108.71
2001-06-20,92.13,92.13,92.13,92.13,0,112.17
2001-06-19,91.85,91.85,91.85,91.85,0,111.83
2001-06-18,91.28,91.28,91.28,91.28,0,111.14
2001-06-15,93.55,93.55,93.55,93.55,0,113.9
2001-06-14,93.27,93.27,93.27,93.27,0,113.56
2001-06-13,97.42,97.42,97.42,97.42,0,118.61
2001-06-12,95.83,95.83,95.83,95.83,0,116.67
2001-06-11,99.52,99.52,99.52,99.52,0,121.18
2001-06-08,103.51,103.51,103.51,103.51,0,126.02
2001-06-07,103.39,103.39,103.39,103.39,0,125.88
2001-06-06,100.26,100.26,100.26,100.26,0,122.08
2001-06-05,101.97,101.97,101.97,101.97,0,123.74
2001-06-04,97.53,97.53,97.53,97.53,0,118.36
2001-06-01,98.96,98.96,98.96,98.96,0,120.08
2001-05-31,103.11,103.11,103.11,103.11,0,125.12
2001-05-30,102.37,102.37,102.37,102.37,0,124.22
2001-05-29,107.2,107.2,107.2,107.2,0,130.09
2001-05-28,111.07,111.07,111.07,111.07,0,134.78
2001-05-25,111.07,111.07,111.07,111.07,0,134.78
2001-05-24,110.05,110.05,110.05,110.05,0,133.54
2001-05-23,111.18,111.18,111.18,111.18,0,134.92
2001-05-22,114.77,114.77,114.77,114.77,0,139.27
2001-05-21,113.74,113.74,113.74,113.74,0,138.03
2001-05-18,112.04,112.04,112.04,112.04,0,135.96
2001-05-17,113.91,113.91,113.91,113.91,0,138.23
2001-05-16,111.35,111.35,111.35,111.35,298241800,135.13
2001-05-15,111.47,111.47,111.47,111.47,0,135.27
2001-05-14,108.06,108.06,108.06,108.06,0,131.13
2001-05-11,115.45,115.45,115.45,115.45,0,140.1
2001-05-10,115.45,115.45,115.45,115.45,0,140.1
2001-05-09,113.17,113.17,113.17,113.17,0,137.34
2001-05-08,112.04,112.04,112.04,112.04,0,135.96
2001-05-07,111.92,111.92,111.92,111.92,0,135.82
2001-05-04,111.92,111.92,111.92,111.92,0,135.82
2001-05-03,107.66,107.66,107.66,107.66,0,130.64
2001-05-02,113.17,113.17,113.17,113.17,0,137.34
2001-05-01,117.33,117.33,117.33,117.33,0,142.37
2001-04-30,120.74,120.74,120.74,120.74,0,146.51
2001-04-27,119.88,119.88,119.88,119.88,0,145.48
2001-04-26,119.88,119.88,119.88,119.88,0,145.48
2001-04-25,119.43,119.43,119.43,119.43,0,144.93
2001-04-24,122.16,122.16,122.16,122.16,0,148.24
2001-04-23,125.69,125.69,125.69,125.69,0,152.52
2001-04-20,125.69,125.69,125.69,125.69,0,152.52
2001-04-19,130.23,130.23,130.23,130.23,0,158.04
2001-04-18,127.39,127.39,127.39,127.39,0,154.59
2001-04-17,119.03,119.03,119.03,119.03,0,144.44
2001-04-16,122.84,122.84,122.84,122.84,0,149.07
2001-04-13,122.84,122.84,122.84,122.84,0,149.07
2001-04-12,122.84,122.84,122.84,122.84,0,149.07
2001-04-11,124.55,124.55,124.55,124.55,0,151.14
2001-04-10,124.55,124.55,124.55,124.55,0,151.14
2001-04-09,116.87,116.87,116.87,116.87,0,141.82
2001-04-06,115.62,115.62,115.62,115.62,0,140.3
2001-04-05,111.35,111.35,111.35,111.35,0,135.13
2001-04-04,111.47,111.47,111.47,111.47,0,135.27
2001-04-03,105.5,105.5,105.5,105.5,0,128.02
2001-04-02,110.78,110.78,110.78,110.78,0,134.44
2001-03-30,109.76,109.76,109.76,109.76,0,133.2
2001-03-29,112.04,112.04,112.04,112.04,0,135.96
2001-03-28,116.02,116.02,116.02,116.02,0,140.79
2001-03-27,121.14,121.14,121.14,121.14,0,147
2001-03-26,117.15,117.15,117.15,117.15,0,142.17
2001-03-23,110.5,110.5,110.5,110.5,0,134.09
2001-03-22,109.76,109.76,109.76,109.76,0,133.2
2001-03-21,115.73,115.73,115.73,115.73,0,140.44
2001-03-20,117.72,117.72,117.72,117.72,0,142.86
2001-03-19,114.2,114.2,114.2,114.2,0,138.58
2001-03-16,113.74,113.74,113.74,113.74,0,138.03
2001-03-15,118.29,118.29,118.29,118.29,0,143.55
2001-03-14,115.05,115.05,115.05,115.05,0,139.61
2001-03-13,113.17,113.17,113.17,113.17,0,137.34
2001-03-12,112.04,112.04,112.04,112.04,0,135.96
2001-03-09,114.6,114.6,114.6,114.6,0,139.06
2001-03-08,117.72,117.72,117.72,117.72,0,142.86
2001-03-07,115.05,115.05,115.05,115.05,0,139.61
2001-03-06,118.46,118.46,118.46,118.46,0,143.75
2001-03-05,107.94,107.94,107.94,107.94,0,130.99
2001-03-02,103.51,103.51,103.51,103.51,0,125.6
2001-03-01,104.36,104.36,104.36,104.36,0,126.64
2001-02-28,106.8,106.8,106.8,106.8,0,129.61
2001-02-27,109.36,109.36,109.36,109.36,0,132.71
2001-02-26,107.37,107.37,107.37,107.37,0,130.3
2001-02-23,104.93,104.93,104.93,104.93,0,127.33
2001-02-22,107.77,107.77,107.77,107.77,0,130.78
2001-02-21,104.24,104.24,104.24,104.24,0,126.5
2001-02-20,108.06,108.06,108.06,108.06,0,131.13
2001-02-19,112.6,112.6,112.6,112.6,0,136.65
2001-02-16,116.3,116.3,116.3,116.3,0,141.13
2001-02-15,123.01,123.01,123.01,123.01,0,149.28
2001-02-14,119.71,119.71,119.71,119.71,0,145.27
2001-02-13,123.13,123.13,123.13,123.13,0,149.41
2001-02-12,127.68,127.68,127.68,127.68,0,154.93
2001-02-09,123.01,123.01,123.01,123.01,0,149.28
2001-02-08,128.53,128.53,128.53,128.53,0,155.97
2001-02-07,126.71,126.71,126.71,126.71,0,153.76
2001-02-06,129.95,129.95,129.95,129.95,0,157.7
2001-02-05,131.94,131.94,131.94,131.94,0,160.11
2001-02-02,132.79,132.79,132.79,132.79,0,161.15
2001-02-01,135.07,135.07,135.07,135.07,0,163.91
2001-01-31,137.63,137.63,137.63,137.63,0,167.01
2001-01-30,140.19,140.19,140.19,140.19,0,170.12
2001-01-29,137.34,137.34,137.34,137.34,0,166.67
